,companyName,layoffDate,noticeDate,numAffected,State
54,"Barton Brands of California, Inc.",2023-06-08,2023-04-21,50,CA
55,TeamOne,2023-06-09,2023-04-14,174,CA
56,Zymergen Inc,2023-06-20,2023-04-21,27,CA
57,Sacramento Self Help Housing,2023-06-30,2023-04-14,168,CA
58,Cedars-Sinai Medical Center,2023-01-03,2023-04-20,1,CA
59,Cedars-Sinai Medical Center,2023-01-06,2023-04-20,1,CA
60,Cedars-Sinai Medical Center,2023-01-09,2023-04-20,1,CA
61,Cedars-Sinai Medical Center,2023-01-13,2023-04-20,1,CA
62,Cedars-Sinai Medical Center,2023-02-03,2023-04-20,3,CA
63,Cedars-Sinai Medical Center,2023-03-02,2023-04-20,1,CA
64,Cedars-Sinai Medical Center,2023-03-09,2023-04-20,3,CA
65,Cedars-Sinai Medical Center,2023-03-20,2023-04-20,1,CA
66,Cedars-Sinai Medical Center,2023-03-25,2023-04-20,1,CA
67,Cedars-Sinai Medical Center,2023-03-31,2023-04-20,1,CA
68,Cedars-Sinai Medical Center,2023-04-03,2023-04-20,1,CA
69,Cedars-Sinai Medical Center,2023-04-20,2023-04-20,2,CA
70,Cedars-Sinai Medical Center,2023-05-05,2023-04-20,124,CA
71,Cedars-Sinai Medical Center,2023-06-01,2023-04-20,1,CA
72,Cedars-Sinai Medical Center,2023-06-02,2023-04-20,1,CA
73,Beverly Hospital,2023-06-11,2023-04-26,54,CA
74,Beverly Hospital,2023-06-11,2023-04-26,5,CA
75,Beverly Hospital,2023-06-13,2023-04-26,9,CA
76,Wetmore Tool and Engineering Company,2023-06-26,2023-04-24,102,CA
77,Cedars-Sinai Medical Center,2023-06-30,2023-04-20,2,CA
78,Alto Systems,2023-05-19,2023-04-14,4,CA
79,Wells Fargo,2023-04-18,2023-04-18,39,CA
80,Wells Fargo,2023-04-18,2023-04-18,8,CA
81,Wells Fargo,2023-04-18,2023-04-18,2,CA
82,Wells Fargo,2023-04-18,2023-04-18,3,CA
83,Electronic Arts Inc.,2023-05-19,2023-04-19,65,CA
84,Intel Corporation,2023-05-31,2023-04-14,62,CA
85,Nektar Therapeutics,2023-06-16,2023-04-17,72,CA
86,"Herbalife International of America, Inc.",2023-04-28,2023-04-10,12,CA
87,"Herbalife International of America, Inc.",2023-04-28,2023-04-10,26,CA
88,"Herbalife International of America, Inc.",2023-04-28,2023-04-10,41,CA
89,Thermo Fisher Scientific,2023-06-10,2023-04-11,29,CA
90,Thermo Fisher Scientific,2023-06-10,2023-04-11,52,CA
91,Thermo Fisher Scientific,2023-06-10,2023-04-11,137,CA
92,Safeway,2023-06-15,2023-04-12,65,CA
93,Ademco Inc.,2023-06-16,2023-04-10,49,CA
94,Cepheid,2023-06-20,2023-04-11,46,CA
95,Cepheid,2023-06-20,2023-04-11,222,CA
96,Cepheid,2023-06-20,2023-04-11,6,CA
97,Cepheid,2023-06-20,2023-04-11,343,CA
98,Cepheid,2023-06-20,2023-04-11,1,CA
99,Cepheid,2023-06-20,2023-04-11,1,CA
100,Cepheid,2023-06-20,2023-04-11,1,CA
101,Cepheid,2023-06-20,2023-04-11,1,CA
102,Cepheid,2023-06-20,2023-04-11,1,CA
103,Cepheid,2023-06-20,2023-04-11,1,CA
104,Cepheid,2023-06-20,2023-04-11,1,CA
105,Cepheid,2023-06-20,2023-04-11,1,CA
106,Cepheid,2023-06-20,2023-04-11,58,CA
107,Cepheid,2023-06-20,2023-04-11,1,CA
108,Cepheid,2023-06-20,2023-04-11,1,CA
109,Cepheid,2023-06-20,2023-04-11,1,CA
110,Ademco Inc.,2023-08-25,2023-04-10,49,CA
111,Ademco Inc.,2024-01-02,2023-04-10,72,CA
112,"Virgin Orbit, LLC",2023-06-03,2023-04-04,6,CA
113,"Virgin Orbit, LLC",2023-06-03,2023-04-04,86,CA
114,Raytheon Technologies,2023-06-09,2023-04-07,175,CA
115,"Printful, Inc.",2023-06-05,2023-04-05,56,CA
116,"General Atomics Aeronautical Systems, Inc.",2023-06-05,2023-04-04,1,CA
117,"General Atomics Aeronautical Systems, Inc.",2023-06-05,2023-04-04,2,CA
118,"General Atomics Aeronautical Systems, Inc.",2023-06-05,2023-04-04,6,CA
119,"General Atomics Aeronautical Systems, Inc.",2023-06-05,2023-04-04,3,CA
120,"General Atomics Aeronautical Systems, Inc.",2023-06-05,2023-04-04,1,CA
121,"General Atomics Aeronautical Systems, Inc.",2023-06-05,2023-04-04,12,CA
122,"General Atomics Aeronautical Systems, Inc.",2023-06-05,2023-04-04,117,CA
123,"General Atomics Aeronautical Systems, Inc.",2023-06-05,2023-04-04,2,CA
124,"General Atomics Aeronautical Systems, Inc.",2023-06-05,2023-04-04,5,CA
125,"General Atomics Aeronautical Systems, Inc.",2023-06-05,2023-04-04,15,CA
126,"General Atomics Aeronautical Systems, Inc.",2023-06-05,2023-04-04,2,CA
127,"General Atomics Aeronautical Systems, Inc.",2023-06-05,2023-04-04,23,CA
128,"General Atomics Aeronautical Systems, Inc.",2023-06-05,2023-04-04,9,CA
129,"General Atomics Aeronautical Systems, Inc.",2023-06-05,2023-04-04,3,CA
130,"General Atomics Aeronautical Systems, Inc.",2023-06-05,2023-04-04,1,CA
131,"General Atomics Aeronautical Systems, Inc.",2023-06-05,2023-04-04,13,CA
132,"General Atomics Aeronautical Systems, Inc.",2023-06-05,2023-04-04,1,CA
133,"General Atomics Aeronautical Systems, Inc.",2023-06-05,2023-04-04,14,CA
134,"General Atomics Aeronautical Systems, Inc.",2023-06-05,2023-04-04,144,CA
135,"General Atomics Aeronautical Systems, Inc.",2023-06-05,2023-04-04,2,CA
136,Accenture,2023-06-05,2023-04-05,75,CA
137,"Gobble Holdings, Inc",2023-06-07,2023-04-05,81,CA
138,First Transit,2023-06-10,2023-04-04,241,CA
139,First Transit,2023-06-10,2023-04-04,181,CA
140,"Myovant Sciences, Inc.",2023-06-30,2023-04-04,94,CA
141,"ITS Technologies & Logistics, LLC",2023-04-30,2023-04-07,110,CA
142,International Business Machines Corporation (IBM),2023-06-05,2023-04-04,53,CA
143,"Amplitude, Inc.",2023-06-15,2023-04-05,83,CA
144,"Virgin Orbit, LLC",2023-04-03,2023-03-30,58,CA
145,"Virgin Orbit, LLC",2023-04-03,2023-03-30,603,CA
146,"Emerald Cloud Lab, Inc.",2023-04-30,2023-04-14,30,CA
147,"Hollywood Palladium, a subsidiary of Live Nation Entertainment, Inc.",2023-06-01,2023-04-01,509,CA
148,Twitch,2023-06-02,2023-04-03,153,CA
149,Hawthorne Hydroponics LLC an affiliate of The Scotts Company LLC,2023-06-04,2023-04-04,76,CA
150,Hawthorne Hydroponics LLC an affiliate of The Scotts Company LLC,2023-06-04,2023-04-04,1,CA
151,Superior Studio Specialties,2022-04-01,2022-04-15,4,CA
152,"Sober Living by the Sea, Inc.",2023-06-02,2023-04-03,39,CA
153,The Testing Company LLC,2023-06-03,2023-04-03,143,CA
154,"NGM Biopharmaceuticals, Inc.",2023-06-05,2023-04-04,75,CA
155,International Business Machines Corporation (IBM),2023-06-05,2023-04-04,47,CA
156,"Flagship Facility Services, Inc.",2023-05-30,2023-03-31,9,CA
157,"Flagship Facility Services, Inc.",2023-05-30,2023-03-31,13,CA
158,"Flagship Facility Services, Inc.",2023-05-30,2023-03-31,17,CA
159,"Flagship Facility Services, Inc.",2023-05-30,2023-03-31,4,CA
160,"Flagship Facility Services, Inc.",2023-05-30,2023-03-31,3,CA
161,"Flagship Facility Services, Inc.",2023-05-30,2023-03-31,1,CA
162,"Flagship Facility Services, Inc.",2023-05-30,2023-03-31,2,CA
163,"Flagship Facility Services, Inc.",2023-05-30,2023-03-31,2,CA
164,Oishii Farm Corporation,2023-06-04,2023-04-01,3,CA
165,Novipax Buyer LLC,2023-03-31,2023-03-30,69,CA
166,"Lucid USA, Inc.",2023-05-31,2023-03-31,133,CA
167,Quallion LLC,2023-05-31,2023-03-30,115,CA
168,The Fashion Institute of Design & Merchandising (FIDM),2023-05-31,2023-03-30,107,CA
169,"The Shyft Group GTB, LLC",2023-05-31,2023-03-31,60,CA
170,Walmart,2023-06-02,2023-03-31,953,CA
171,"Viasat, Inc",2023-06-02,2023-03-31,107,CA
172,"Viasat, Inc",2023-06-02,2023-03-31,4,CA
173,"Medtronic, Inc.",2023-07-01,2023-03-29,59,CA
174,99 Cents Only Stores LLC,2023-03-30,2023-03-30,52,CA
175,Jabil Inc.,2023-05-30,2023-03-30,57,CA
176,"Stratasys, Inc.",2023-06-01,2023-03-29,23,CA
177,Schneider Electric,2023-06-16,2023-03-30,8,CA
178,"Roku, Inc.",2023-04-07,2023-03-30,91,CA
179,Childhelp Inc.,2023-05-27,2023-03-29,110,CA
180,"Zume, Inc.",2023-05-27,2023-03-28,58,CA
181,"Salesforce, Inc.",2023-05-30,2023-03-30,86,CA
182,International Vitamin Corporation IVC,2023-06-02,2023-03-27,52,CA
183,Logitech Inc.,2023-03-20,2023-03-20,52,CA
184,Logitech Inc.,2023-03-20,2023-03-20,15,CA
185,Logitech Inc.,2023-03-20,2023-03-20,3,CA
186,Topa Insurance Group and Topa Insurance Company,2023-05-23,2023-03-22,87,CA
187,"Marvell Semiconductor, Inc.",2023-05-22,2023-03-22,96,CA
188,"Marvell Semiconductor, Inc",2023-05-22,2023-03-22,29,CA
189,"Marvell Semiconductor, Inc.",2023-05-22,2023-03-22,4,CA
190,Microsoft,2023-05-26,2023-03-27,19,CA
191,Microsoft,2023-05-26,2023-03-27,1,CA
192,Microsoft,2023-05-26,2023-03-27,1,CA
193,"The Hillman Group, Inc.",2023-05-31,2023-03-28,62,CA
194,Sharp,2023-06-01,2023-03-28,118,CA
195,"Restoration Hardware, Inc.",2023-05-24,2023-03-24,58,CA
196,"Aspiration Partners, Inc.",2023-05-26,2023-03-24,180,CA
197,Nutiva,2023-07-01,2023-03-24,63,CA
198,Mattel,2023-04-30,2023-02-21,13,CA
199,Mattel,2023-04-30,2023-02-21,1,CA
200,Mattel,2023-04-30,2023-02-21,91,CA
201,"Stir Foods, LLC",2023-05-20,2023-03-21,12,CA
202,"Stir Foods, LLC",2023-05-20,2023-03-21,11,CA
203,"Genentech, Inc.",2023-05-24,2023-03-23,271,CA
204,The Michaels Companies,2023-03-23,2023-03-23,160,CA
205,Greenheck Fan Corporation (Unison Comfort Technologies),2023-05-31,2023-03-23,25,CA
206,Silvergate Bank,2023-05-12,2023-03-13,260,CA
207,"Glassdoor, Inc.",2023-03-31,2023-03-22,130,CA
208,Microsoft,2023-05-05,2023-03-06,54,CA
209,Microsoft,2023-05-05,2023-03-06,1,CA
210,Microsoft,2023-05-05,2023-03-06,1,CA
211,"Natera, Inc.",2023-05-16,2023-03-17,59,CA
212,"Ferring Research Institute, Inc.",2023-05-26,2023-03-20,89,CA
213,"Security Industry Specialists, Inc.",2023-04-28,2023-02-24,115,CA
214,"Security Industry Specialists, Inc",2023-04-28,2023-02-24,416,CA
215,"Security Industry Specialists, Inc.",2023-04-28,2023-02-24,87,CA
216,"Custom Control Sensors, LLC",2023-05-17,2023-03-17,127,CA
217,Amgen Inc.,2023-05-26,2023-03-16,425,CA
218,Vinci Brands LLC,2023-05-05,2023-03-06,45,CA
219,Vinci Brands LLC,2023-05-05,2023-03-06,10,CA
220,Cresco Labs,2023-05-15,2023-03-15,25,CA
221,Cresco Labs Corporate Headquarters,2023-05-15,2023-03-15,1,CA
222,La Habra Facility,2023-05-15,2023-03-15,17,CA
223,Cresco Labs,2023-05-15,2023-03-15,44,CA
224,"Herbalife International of America, Inc.",2023-04-28,2023-03-13,12,CA
225,"Herbalife International of America, Inc.",2023-04-28,2023-03-13,40,CA
226,"Herbalife International of America, Inc.",2023-04-28,2023-03-13,26,CA
227,BrassCraft Manufacturing Company,2023-12-31,2023-03-15,137,CA
228,"Medical Device Business Services, Inc.",2023-04-30,2023-03-01,3,CA
229,Coherent Corp.,2023-05-15,2023-03-14,108,CA
230,"Salesforce, Inc.",2023-05-09,2023-03-09,55,CA
231,Scripps Health - Corporate 1,2023-05-08,2023-03-08,2,CA
232,Scripps Health - Corporate 3,2023-05-08,2023-03-08,2,CA
233,Scripps Mercy Hospital,2023-05-08,2023-03-08,2,CA
234,Scripps Memorial Hospital La Jolla,2023-05-08,2023-03-08,1,CA
235,Scripps Health Corporate IS Office,2023-05-08,2023-03-08,63,CA
236,"CoStar Group, Inc.",2023-05-12,2023-03-08,62,CA
237,"Truepill, Inc.",2023-04-14,2023-02-17,11,CA
238,Gordon Laboratories Inc,2023-04-24,2023-02-24,62,CA
239,"Atlassian US, Inc.",2023-05-05,2023-03-06,268,CA
240,Graphite Bio,2023-03-01,2023-03-01,2,CA
241,"Coherus BioSciences, Inc.",2023-03-03,2023-03-03,51,CA
242,Graphite Bio,2023-04-24,2023-03-01,14,CA
243,Graphite Bio,2023-04-24,2023-03-01,33,CA
244,Lendlease (US) Services Inc.,2023-04-28,2023-02-24,67,CA
245,Flex LTD,2023-05-01,2023-02-28,10,CA
246,Boot Barn,2023-05-01,2023-03-03,59,CA
247,Thermo Fisher Scientific,2023-05-06,2023-03-07,123,CA
248,Thermo Fisher Scientific,2023-05-06,2023-03-07,12,CA
249,Thermo Fisher Scientific,2023-05-06,2023-03-07,19,CA
250,"AeroVironment, Inc.",2023-05-06,2023-03-06,62,CA
251,KLA Corporation,2023-05-08,2023-03-03,72,CA
252,Graphite Bio,2023-06-01,2023-03-01,3,CA
253,Graphite Bio,2023-06-01,2023-03-01,7,CA
254,"Ajinomoto Foods North America, Inc.",2023-02-22,2023-03-02,48,CA
255,Finance of America,2023-04-03,2022-10-26,48,CA
256,"Herbalife International of America, Inc.",2023-04-28,2023-02-27,1,CA
257,"Herbalife International of America, Inc.",2023-04-28,2023-02-27,7,CA
258,"Herbalife International of America, Inc.",2023-04-28,2023-02-27,11,CA
259,"Embark Trucks, Inc.",2023-05-03,2023-03-03,109,CA
260,"Cerebral, Inc.",2023-04-30,2023-02-27,31,CA
261,"Clif Bar & Company, LLC",2023-05-01,2023-03-02,34,CA
262,Waymo LLC,2023-05-05,2023-03-01,111,CA
263,Waymo LLC,2023-05-05,2023-03-01,1,CA
264,"Tasteful Selections, Inc.",2023-04-29,2023-02-28,54,CA
265,"Tasteful Selections, Inc.",2023-04-29,2023-02-28,1,CA
266,"Johnson & Johnson Services, Inc.",2023-04-30,2023-03-01,1,CA
267,"Medical Device Business Services, Inc.",2023-04-30,2023-03-01,5,CA
268,"Auris Health, Inc.",2023-04-30,2023-03-01,223,CA
269,"Auris Health, Inc.",2023-04-30,2023-03-01,69,CA
270,Verb Surgical Inc.,2023-04-30,2023-03-01,47,CA
271,CSATS Inc.,2023-04-30,2023-03-01,3,CA
272,Ethicon Endo-Surgery Inc.,2023-04-30,2023-03-01,4,CA
273,American General Life Insurance Company,2023-05-01,2023-02-27,163,CA
274,"COR Restaurant Services, LLC with Chick-fil-A, Inc.",2023-05-04,2023-02-28,85,CA
275,"Zoom Video Communications, Inc.",2023-02-07,2023-02-06,199,CA
276,"Rivian Automotive, LLC",2023-04-14,2023-02-01,150,CA
277,"Rivian Automotive, LLC",2023-04-14,2023-02-01,29,CA
278,"Rivian Automotive, LLC",2023-04-14,2023-02-01,153,CA
279,"Rivian Automotive, LLC",2023-04-14,2023-02-01,35,CA
280,"Rivian Automotive, LLC",2023-04-14,2023-02-01,31,CA
281,"Rivian Automotive, LLC",2023-04-14,2023-02-01,8,CA
282,"Rivian Automotive, LLC",2023-04-14,2023-02-01,8,CA
283,"Rivian Automotive, LLC",2023-04-14,2023-02-01,4,CA
284,"GEO Secure Services, LLC",2023-04-14,2023-02-15,112,CA
285,"Rivian Automotive, LLC",2024-04-14,2023-02-01,61,CA
286,Ruggable LLC,2023-01-27,2023-02-22,24,CA
287,Ruggable LLC,2023-01-27,2023-02-22,16,CA
288,Ruggable LLC,2023-01-27,2023-02-22,6,CA
289,Ruggable LLC,2023-01-27,2023-02-22,30,CA
290,Ruggable LLC,2023-01-27,2023-02-22,1,CA
291,"Joslyn Sunbank Company, LLC",2023-03-31,2023-01-30,76,CA
292,"Impossible Foods, Inc.",2023-04-11,2023-02-10,132,CA
293,Foster Dairy Farms,2023-04-24,2023-02-24,65,CA
294,"Hyperloop Technologies, Inc. dba Hyperloop One",2023-04-25,2023-02-28,5,CA
295,"AeroVironment, Inc.",2023-04-25,2023-02-23,17,CA
296,The Capital Group Companies Inc.,2023-04-28,2023-02-24,78,CA
297,The Capital Group Companies Inc.,2023-04-28,2023-02-24,112,CA
298,"Yanka Industries, Inc. dba MasterClass",2023-04-29,2023-02-28,89,CA
299,"UserTesting, Inc.",2023-05-01,2023-02-23,63,CA
300,LinkedIn Corporation,2023-02-13,2023-02-14,49,CA
301,LinkedIn Corporation,2023-02-13,2023-02-14,3,CA
302,LinkedIn Corporation,2023-02-13,2023-02-14,39,CA
303,Collins Pine Company,2023-02-24,2023-02-23,51,CA
304,"Minted, LLC.",2023-04-17,2023-02-16,6,CA
305,Microfabrica Inc.,2023-04-24,2023-02-22,91,CA
306,Masonite Corporation,2023-05-05,2023-02-21,59,CA
307,"Futurewei Technologies, Inc.",2023-04-03,2023-02-20,43,CA
308,Markstein Beverage Co.,2023-04-22,2023-02-21,503,CA
309,Pacific Western Bank,2023-04-28,2023-02-21,200,CA
310,"Beyond Hello CA, LLC",2023-04-29,2023-02-17,6,CA
311,"Gino/Giuseppe, Inc. dba G&G Construction Co.",2023-04-30,2023-02-17,64,CA
312,"Gino/Giuseppe, Inc. dba G&G Construction Co.",2023-04-30,2023-02-17,135,CA
313,Rume Health,2023-05-05,2023-02-13,62,CA
314,Adventist Health Systems West,2023-02-01,2023-02-15,59,CA
315,Evernote Corporation,2023-02-17,2023-02-17,65,CA
316,"Critical Ideas, Inc. dba Chipper Cash",2023-02-17,2023-02-16,49,CA
317,"Instil Bio, Inc.",2023-04-01,2023-01-31,39,CA
318,"Instil Bio, Inc.",2023-04-01,2023-01-31,42,CA
319,"GSC Logistics, Inc.",2023-04-12,2023-02-10,58,CA
320,BJ's Restaurants,2023-04-12,2023-02-10,90,CA
321,Providence Medical Foundation,2023-04-16,2023-02-16,8,CA
322,"Peer Street, Inc.",2023-04-16,2023-02-15,30,CA
323,"Wix.com, Inc.",2023-04-16,2023-02-15,27,CA
324,Cornerstone Building Brands,2023-04-17,2023-02-14,128,CA
325,KDC/One,2023-04-18,2023-02-16,43,CA
326,KDC/One,2023-04-18,2023-02-16,13,CA
327,Qualcomm Incorporated,2023-04-18,2023-02-15,79,CA
328,"SAP America, Inc.",2023-04-19,2023-02-15,65,CA
329,"SAP America, Inc.",2023-04-19,2023-02-10,159,CA
330,"Ducommun Aerostructures, Inc.",2023-04-28,2023-02-17,146,CA
331,"QG Printing II, LLC",2023-04-28,2023-02-16,241,CA
332,"Instil Bio, Inc.",2023-06-30,2023-01-31,1,CA
333,"Boardriders Wholesale, LLC",2023-02-03,2023-02-01,2,CA
334,"Velodyne Lidar, Inc.",2023-02-13,2023-02-13,220,CA
335,Intel Corporation,2023-03-31,2023-02-14,61,CA
336,"Wipro, LLC",2023-04-14,2023-02-13,114,CA
337,"Sorrento Therapeutics, Inc.",2023-04-14,2023-02-13,538,CA
338,"Udemy, Inc.",2023-04-14,2023-02-13,74,CA
339,"Lucira Health, Inc.",2023-04-15,2023-02-14,17,CA
340,"Lucira Health, Inc.",2023-04-15,2023-02-14,9,CA
341,Intel Corporation,2023-04-15,2023-02-14,49,CA
342,Intel Corporation,2023-04-15,2023-02-14,1,CA
343,Intel Corporation,2023-04-15,2023-02-14,1,CA
344,"Lucira Health, Inc.",2023-04-15,2023-02-14,36,CA
345,"NUPLA LLC, a wholly-owned subsidiary of Saunders Midwest LLC",2023-05-31,2023-02-14,66,CA
346,"Medallia, Inc.",2023-02-07,2023-02-09,59,CA
347,"eBay, Inc.",2023-02-07,2023-02-07,15,CA
348,"eBay, Inc.",2023-02-07,2023-02-07,169,CA
349,"Upstart Network, Inc.",2023-02-20,2023-01-31,102,CA
350,Twilio Inc.,2023-02-22,2023-02-13,159,CA
351,"Affirm, Inc.",2023-02-15,2023-02-08,155,CA
352,Bayer U.S. LLC,2023-03-31,2023-01-30,55,CA
353,"Sutter Street Manufacturing, Inc.",2023-04-12,2023-02-09,364,CA
354,"Medical Device Business Services, Inc.",2023-04-14,2023-02-07,6,CA
355,DePuy Synthes Products Inc.,2023-04-14,2023-02-07,31,CA
356,"Patina Group Newco, LLC",2023-04-14,2023-02-09,184,CA
357,Pfizer Inc,2023-04-19,2023-02-09,196,CA
358,Zendesk,2023-01-06,2022-11-07,84,CA
359,"Respawn Entertainment, LLC a subsidiary of Electronic Arts Inc.",2023-03-03,2023-01-31,77,CA
360,"Overhill Farms, Inc.",2023-04-09,2023-02-08,100,CA
361,Inglewood Sportservice Inc. at Kia Forum,2023-04-15,2023-02-07,284,CA
362,"NC Interactive, LLC",2023-02-01,2023-02-02,4,CA
363,"NC Interactive, LLC",2023-02-01,2023-02-02,43,CA
364,Pinterest Inc.,2023-02-03,2023-02-03,49,CA
365,"NetApp, Inc.",2023-04-01,2023-02-03,148,CA
366,"Workday, Inc.",2023-04-03,2023-02-03,196,CA
367,"FedEx Ground Package System, Inc.",2023-04-03,2023-02-02,149,CA
368,"Autodesk, Inc.",2023-04-03,2023-02-01,61,CA
369,"Plastiq, Inc.",2023-04-04,2023-02-03,80,CA
370,"Seenager, Inc.",2023-04-07,2023-02-05,117,CA
371,DJW Logistics,2023-04-08,2023-02-08,58,CA
372,"Salesforce, Inc.",2023-04-24,2023-02-02,247,CA
373,"Salesforce, Inc.",2023-04-24,2023-02-02,7,CA
374,"Salesforce, Inc.",2023-04-24,2023-02-02,4,CA
375,Lam Research Corporation,2023-04-03,2023-01-31,200,CA
376,Lam Research Corporation,2023-04-03,2023-01-31,200,CA
377,Splunk Inc.,2023-04-03,2023-02-01,101,CA
378,ContextLogic Inc.,2023-04-03,2023-02-01,47,CA
379,Splunk Inc.,2023-04-03,2023-02-01,73,CA
380,Microsoft,2023-04-10,2023-02-09,7,CA
381,Microsoft,2023-04-10,2023-02-09,1,CA
382,Microsoft,2023-04-10,2023-02-09,1,CA
383,Microsoft,2023-04-10,2023-02-09,1,CA
384,Microsoft,2023-04-10,2023-02-09,2,CA
385,Microsoft,2023-04-10,2023-02-09,41,CA
386,Microsoft,2023-04-10,2023-02-09,9,CA
387,American Nuts,2023-03-31,2023-01-31,110,CA
388,"Healthcare Staffing Professionals, Inc.",2023-03-31,2023-01-31,224,CA
389,Triple Canopy,2023-03-31,2023-01-31,226,CA
390,PayPal,2023-03-31,2023-01-31,319,CA
391,Mediland Corp. dba Premium Windows,2023-04-28,2023-02-09,142,CA
392,Electronic Arts' Industrial Toys Studio,2023-03-03,2023-01-31,105,CA
393,Microsoft,2023-03-20,2023-01-18,41,CA
394,Microsoft,2023-03-20,2023-01-18,1,CA
395,Microsoft,2023-03-20,2023-01-18,3,CA
396,Microsoft,2023-03-20,2023-01-18,1,CA
397,"Ryder Integrated Logistics, Inc.",2023-03-31,2023-01-24,130,CA
398,"Pentair Water Pool and Spa, Inc.",2023-04-10,2023-02-02,31,CA
399,"Pentair Water Pool and Spa, Inc.",2023-05-01,2023-02-02,11,CA
400,"Pentair Water Pool and Spa, Inc.",2023-05-31,2023-02-02,62,CA
401,"Mission Ambulance, Inc.",2023-01-01,2023-01-27,112,CA
402,"Mission Ambulance, Inc.",2023-01-01,2023-01-27,22,CA
403,Thermo Fisher Scientific,2023-01-31,2023-01-31,32,CA
404,Thermo Fisher Scientific,2023-01-31,2023-01-31,183,CA
405,Thermo Fisher Scientific,2023-01-31,2023-01-31,15,CA
406,Synopsys Inc.,2023-03-31,2023-01-24,37,CA
407,Synopsys Inc.,2023-03-31,2023-01-24,63,CA
408,"Dr. Squatch, LLC",2023-04-01,2023-01-27,50,CA
409,"National Distribution Centers, LLC",2023-03-24,2023-01-23,175,CA
410,"Dolls Kill, Inc.",2023-04-03,2023-01-31,156,CA
411,"Adecco USA, Inc.",2023-02-03,2023-01-01,64,CA
